<number of nodes>
16
<ratio of available edges>
0.3
<D 2/3>
1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 16
<V>
3, 5, 8, 10, 12
<coordinates X,Y>
54.675355555872876, 961.3901815085778
870.2778960149747, 29.973781987621265
419.858347793178, 839.7106906893213
244.59557691067337, 819.0015533967601
581.469756435102, 312.2859041438398
635.8188018165193, 745.3429199680684
299.5621226827712, 174.88222408911105
783.4437189051797, 606.5013303236948
610.703253329068, 486.0780399546196
547.4933391018781, 898.9741412612022
954.5370258871632, 48.80525233436468
520.009947695383, 251.87378267183797
87.85415898191825, 111.51749267106277
653.911156215999, 479.88358766150674
567.8901633148644, 340.8212649939772
521.1934231558649, 770.6406423582072
<adjacency matrix>
1, 3
3, 1
1, 6
6, 1
1, 13
13, 1
1, 14
14, 1
1, 1
2, 3
3, 2
2, 5
5, 2
2, 15
15, 2
2, 16
16, 2
2, 2
3, 10
10, 3
3, 15
15, 3
3, 16
16, 3
3, 3
4, 6
6, 4
4, 9
9, 4
4, 10
10, 4
4, 11
11, 4
4, 13
13, 4
4, 16
16, 4
4, 4
5, 9
9, 5
5, 14
14, 5
5, 5
6, 7
7, 6
6, 8
8, 6
6, 12
12, 6
6, 14
14, 6
6, 16
16, 6
6, 6
7, 12
12, 7
7, 16
16, 7
7, 7
8, 9
9, 8
8, 14
14, 8
8, 16
16, 8
8, 8
9, 12
12, 9
9, 14
14, 9
9, 9
10, 13
13, 10
10, 10
11, 12
12, 11
11, 13
13, 11
11, 15
15, 11
11, 11
12, 15
15, 12
12, 12
13, 13
14, 14
15, 15
16, 16
<end>
